title,content,rating,username,positive,negative,polarity,genres
Heath Ledger,"If someone else acted as Joker, I would give the movie 7-8 stars. The majority of people ended up loving the villain more than the hero, and that rarely happends in movies.Rest in peace Heath Ledger.",8.0,Anonymous,0.9984,0.0016,0.9969,"Action, Crime, Drama"
One of the Best Superhero movies EVER!!!!!!!,"I saw the dark knight about three years ago when I was in the 8th grade. And I was blown away at how beautifully done it was, the camera work, the acting, the story, it all took me by surprise. It is to this day one of the best movies I have ever seen or will see. No other movie can impact you in such an intense way than The Dark Knight. It is a movie worth seeing due to the fact that the workers put so much time and effort into this one film and they did not want to waste money putting up garbage. So Christopher Nolan, thank you for not wasting our time, instead earning our time with this film. To this day I still am anxious to see the movie at home. I recommend it to anyone who likes action movies in general. To anyone who doesn't, don't waste your time write bad reviews about this film.",10.0,Anonymous,0.9989,0.0011,0.9979,"Action, Crime, Drama"
The sequel we deserved to the Batman we wanted,"I used to leave a theatre after seeing a highly anticipated movie, specifically a sequel, and be so revved up about what I saw that I would declare that movie to be the best of a series. After each of the prequel ""Star Wars"" films, I rated that one the best, as good as any of the originals...for a time, until my opinion balanced out and I had a more well-rounded take. For that reason, I steer away from that mindset, and did for ""Dark Knight"".Though my opinion is solidifying already after having seen a Warner Bros. screening last night, ""Dark Knight"" ably stands on its own with or without ""Batman Begins"". At a two and a half hour runtime, it's definitely an epic of a movie, but one that never runs out of gas. A delightful addition to this experience was a healthy amount of IMAX footage, which significantly adds to the feel of being on a personal, and gruesome, tour of Gotham City.Christian Bale plays such a well rounded Batman and Bruce Wayne, qualities that none of those who have donned the cowl before him have pulled off. I still have to remember that Bale is British since he speaks with such a spot on American accent. Bale has a particular slurring lisp that serves him quite well, charmingly for Bruce Wayne and threateningly for Batman.Countering him is the late Heath Ledger, who plays such a scary and creepy Joker that I found it impossible to NOT have chills half the time I saw him on screen. What really separates this brand of Joker from Jack Nicholson's portrayal is true unpredictability. It's obvious that, to be a good guy and think like the Joker, it really takes a toll, and it sure isn't easy. How exactly does one take him down when he's woven his harebrained plot around multiple hostages, explosives, or disappearing parlor tricks?Initially, I was uneasy about how the character of Harvey Dent would be handled. In my mind, there was really only one faithful portrayal of him, and that could be found in the ""Batman"" animated series of the early 90s. As well as Tommy Lee Jones COULD have handled him in ""Batman Forever"", he certainly did not, though it still was a highlight of that movie. Aaron Eckhart ably assumes the mantle here, delivering a performance out of this world, easily on par with the Batman animated series.Be it known, this caped avenger stands for the good of Gotham City that the police force and its counterparts can't represent, the good that has no jurisdiction, no procedures...and no rules, save for one. I can only hope that we've seen just the prelude to the Dark Knight's upcoming legendary battles with the worst of Gotham City's dark underside.""The Dark Knight"" gets a solid 10 of 10 stars.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
9.4 Top Contender for 'Best Superhero Movie',"*level of enjoyment*
#10
top tier - from start to finish The Dark Knight has you on the edge of your seat, enjoying every minute*likelihood to recommend*
#10
highest recommendation - if you haven't seen it, watch it, it is a masterpiece, the downside? likely to put all future Batman features to shame*quality of acting*
#9
excellent - Bale is the gold standard Batman, gruff, tough, aloof, positively fueled by the tragedies of his dark past. Ledger is the nightmare villain, twisted, evil, unapologetic, irrational, completely void of a moral compass*quality of writing*
#10
perfection - one of those movies you wish you could have a memory edit in order to watch again and again*quality of intangibles*
#8
excellent - visual is on point, dark gloomy Gotham, perfect setting for a hero to operate and succeed from the shadows
very good - music and sound puts viewers in the mood and anticipating the next intense scene",9.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
"Oh, come on, people, this is not one of the 250 great movies of all time","I will say up front that I have never seen a movie based on a comic book that I really liked, except the animated ones, or the quasi-animated, like _Sin City_. You would think the graphic novel and film would have a lot in common, but in the end they're trading in different kinds of images.This is basically just another Batman movie. Same silly premise, that a super-rich hero battles --- over the shrinking remnants of Gotham city --- villains with seemingly unlimited resources in personnel and explosives.I will agree that Heath Ledger's performance is amazing. Can this be the same guy who played the gay cowboy in that other movie? It is a real pity that he died. I can't help but thinking that if he were still alive, and we were wondering what he would do next with his great talent, this movie would not have an average rating of 9.0 (as of this writing).There are a lot of other fine actors (Morgan Freeman and Michael Caine, for crying out loud) who are basically wasted pretending to take their characters seriously.I did like the heist sequence at the beginning, including the Joker's first few lines and the bit with the bus. Really very droll; gets your hopes up. But, from then on, it's just a lot of people being blown up while the survivors emote angst --- dark, brooding, comic-book angst.",6.0,Anonymous,0.0005,0.9995,-0.999,"Action, Crime, Drama"
Best movie of 2008 hands down!,"I had the honor of watching TDK during a screening and was completely blown away! This isn't just the best Batman movie ever made, this is one of the best movie ever made. Everything in this film is excellent, not one piece of annoyance.Bale marvels as Bruce Wayne/Batman, Ledger has made The Joker in to an iconic movie villain. His performance belongs there at the top with Hopkins Lecter. The Joker has finally been portrait properly on film, he has earned his place between the big boys in movie villandom. This is the true Joker every Batman fan knows, loves and fears. Ledger deserves any and every movie award known to man for this brilliant display.Nolan has made his ""I will always be remembered"" movie, this is the crownjewel in his portfolio. Perfect directing, perfect story, perfect balance between action and drama, everything is perfect.Even if you hate Batman, you will love this film. If you don't, then something beez wrongz with youz!",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Best movie ever,The dark knight is the best movie I have ever seen in my life,10.0,Anonymous,0.9986,0.0014,0.9972,"Action, Crime, Drama"
Heath Ledger is a ledgend!,"Well here it is, one of the most anticipated movies of the year so far. How was it? It was excellent. By far the best Batman film ever made and of course it will be one of the most memorable action films for a long while.Everyone was waiting to see how well Heath Ledger performed as The Joker in this film. He definitely deserves an Oscar in his honor. The character was so dark and creepy that it sent chills up my back. Compared to Heath's other films like '10 Things I Hate About You' and even 'Brokeback Mountain' proves that this man could actually act, doesn't matter what character, he could do it.The film's storyline has many twists and all are rewarding, the story is developed constantly after each scene, making you wonder what's next. Excellent craft and flows well towards the conclusion.During the film on the scene with Batman against the Joker, Bike vs Truck. People thought this was the ending. No, it kept going which was awesome, the story kept getting darker and darker, I guess that's why they called it the 'Dark' Knight as well as the relation to Batman himself.The cast was great. With Christopher Nolan playing Batman, good performance, Heath Ledger played extremely well, Maggie was annoying at times, but still deserves to be praised. Michael Caine and Morgan Freeman had minor roles which satisfied the audiences. Aaron Eckhart starts with a minor role which slowly progresses and becomes evil which is quite surprising and entertaining to watch.Great directing made the movie enjoyable, they added more action this time which made the film feel powerful, lighting was done well especially showing Harvey/ Two Face's face in the many moods he displayed.Great explosions made it entertaining. Made you feel great that this is finally the best action to come in a long time.This movie deserves a 10/10 rating and credit on behalf of the great young actor Heath Ledger's life. (May he R.I.P) His performance made what this film is right now.I recommend this film for any action fan, especially a Batman fan. Or if your even a Heath Ledger fan. Go ahead right now and see this film. It's great!",10.0,Anonymous,0.9989,0.0011,0.9979,"Action, Crime, Drama"
Best in it's class and much more,"This is the best superhero movie ever made!!!! If you like to watch superhero movies then you should definitely watch this.However, I must say that this movie is much more than just a superhero movie. If you don't like superhero movie but want to watch a good drama/action movie then this is one of the best.",10.0,Anonymous,0.9989,0.0011,0.9977,"Action, Crime, Drama"
One of the best movies,"The actors, the script, the scenery make it one of the best movies I have ever seen. The best-played character of the joker is amazing. That's how I imagined him. In the film, he is portrayed as an ultra-intelligent person with a psychopathic ""brain"". Honestly, I was very surprised that someone known for their niche productions would play such a good role as one of the most important characters in the Batman series. Unfortunately, we will probably never see the joker so well again, because Heath Ledger, from unknown circumstances, died. This is sad news. However, back to the movie. The main character, Batman, played by Christian Bale, also shows the character very well. Therefore, my rating for this movie is 10/10.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
great but doesn't deserve to be compared with masterpieces,"Christopeher Nolan is a talented director. With batman begins,he created such a fantastic atmosphere that he brought batman character back in game. With the dark knight, he made not only a great second sequel, but also one of the best movies of the past 10 years. He mixed action, heroism, feeling, literature, colors so well that you feel kind of high when the movie ends. There is no doubt about it.But i see some people who don't mind to compare this movie with some old masterpieces and say the dark knight is the best movie so far.Haha, this is completely unacceptable.Let me clear this: If a movie can bring freshness to creativity, If a movie happens to change your insights, If a movie starts a new genre, gives away new techniques and styles, If a movie makes you understand your heart better; then I call that movie a masterpiece. As far as I see, The Dark Knight is far from it.But I still feel like I have to congratulate Christopher Nolan for making such a good film. Thanks...",7.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Mindblowing,"I thought I was getting a clever comic book movie. Instead, I got a profound, chilling introspection on good vs evil with allegorical references to God vs Satan, good vs evil, and social-political and true life realities that made me cry as the credits rolled at just the powerful, brilliant fil experience it was.I was enthralled and mesmerized with what the director and writers were doing to something that was only supposed to be a Batman movie. I've now seen it at least 10 times, and I still get the same feeling. This is big budget, blockbuster filmmaking at its absolute best for the ages, a top 10 movie of all-time.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Christopher Nolan back at it again.,"What can I say, it was made by Christopher Nolan so it has to be good. Amazing action. Amazing characters. Amazing director. And amazing cinematography. The Dark Knight has everything. And like everyone said, Heath Ledger had a performance of a lifetime. This movie is just absolutely great.Overall rating: 9.4.",9.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Heath Ledger makes this great,"Batman takes on the crime lords with the help of Lieutenant Jim Gordon and District Attorney Harvey Dent. However an even bigger evil rises to terrorize Gotham.Maggie Gyllenhaal is an improvement over Katie Holmes as Rachel Dawes. Aaron Eckhart adds a good performance as Harvey Dent. In the end, this is Heath Ledger's movie. He overpowers everybody. His early death may have immortalized him, but my opinion isn't inflated. His presence is electric. It helps that his character is so ridiculously crazy. His motivation has nothing to do with power or money which is so mundane. He wants chaos and that is so much more fascinating. Heath Ledger makes this movie great. And it surpasses the series reboot 'Batman Begins'.",9.0,Anonymous,0.9988,0.0012,0.9977,"Action, Crime, Drama"
The best comic book movie in existence,There are few movies where you just feel privileged because you get to watch them and are honoured to. This is one of them.,10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Amazing!,Amazing film. Closest thing we will ever get to a perfect superhero movie.,10.0,Anonymous,0.9988,0.0012,0.9976,"Action, Crime, Drama"
The best fantastic movie ever made,"Incredibly beatiful.Christian Bale, Heath Ledger, Gary Oldman, Michael Caine, Morgan Freeman, Aaron Eckhart, Maggie Gyllenhaal, Eric Roberts and Cillian Murphy. Amazing cast! Thanks to writers Jonathan Nolan and Cristopher Nolan for screenplay and Cristopher Nolan and David S. Goyer for story and Bob Kane for characters. Thanks to director Cristopher Nolan.",10.0,Anonymous,0.9986,0.0014,0.9973,"Action, Crime, Drama"
The Dark Knight Movie Review,"Fantastic, that is the only word i can use to describe how well this movie was made. This movie has everything from dark humor, action to the most dark and horrifying scenes, it is an amazing movie and i have to give credit to the amazing actor Heath Ledger, he did an amazing job in this movie and absolutely nailed the joker, he is definitely the best joker i've ever seen he did it so on point it's fantastic. Overall i think this movie is definitely Oscar worthy and it's without a doubt the best batman movie ever made!!!",9.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Amazing non-stop action and eye-popping skyscraper scenes!,"I first need to point out that I generally hate action films--they just aren't a genre I generally would go to see. However, my teenage daughter saw the film and DEMANDED that we immediately go to an IMAX-equipped theater and see it as soon as possible. Had I not agreed, I think she would have threatened force or threaten to leave home, so I reluctantly agreed. I'm pointing all this out up front so you'll understand that if I didn't give this movie a 10 and found a few minor problems with the plot, it's probably because of my bias. However, for me to give an action film a 9 is very, very unusual--it was a terrific film and almost earns a 10.As far as action goes, it was nearly non-stop and there were more eye-popping stunts in it than nearly any film you could see. Plus, I truly recommend that if you do have an IMAX theater nearby that is showing it you go there and not to a regular theater. The sounds, the sights and the action are just amazing on this huge screen--and in hindsight I probably should have taken my hearing aids out before the film began--I DIDN'T need them! For many, this will make the film a must-see, though I admit that it was was a bit tiring after a while--for an old fogy like myself, maybe there was a bit too much action--though teens and action fans will adore it.The characters were excellent--with the possible exception of Batman. He was fine, but I wish he'd have stopped mumbling in his deep voice. This made him a lot less interesting and perhaps less likable than the villains!! As for the villains, the Joker was great and very, very sadistic and I liked Harvey Dent as well (especially after his cool makeup job late in the film). Oddly, perhaps my favorite character was a guy who was only a bit character--Tommy 'Tiny' Lister who played one of the scariest prisoners I have ever seen in film. His bit part on the ferry boat was really exceptional.Overall, this film is better than any superhero film I have ever seen and much better than the earlier Batman films. My only serious problem was the ending--what Gordon and Batman agree to do made no sense at all and wasn't necessary. Still, with such amazing eye-candy, who am I to complain? A wonderful ride and a must-see movie for action and superhero fans. HOWEVER, it is a very violent film intended for adults--I would not take kids or even some teens to the film--it's THAT dark and intense.As of today (7/26/08), this is by far the highest rated film on IMDb. If these numbers can be believed, this film is better than THE GODFATHER, CASABLANCA, GONE WITH THE WIND and 12 ANGRY MEN! Let's have a bit of perspective here--it's a very, very good film but the cult members out there need to get a grip.",9.0,Anonymous,0.9989,0.0011,0.9979,"Action, Crime, Drama"
By far the BEST Batman movie .,"I was never much for Batman movies but Christian Bale was by far the BEST Batman EVER ,paired with Heath Ledger and the dynamic was incredible, I believe that Heath Ledger was the BEST 'Joker, and his portrayal of the Joker in the movie of the same name was sheer brilliance.
The best coupling by far, in fact when I used to have my grandson over we watched Batman 'The dark night' repeatedly.
Loved this movie.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
"Knock, Knock...","There's a villain, full of colour, takes to the stage, a double crossing trickster seeks to enrage, a Mafioso kind of broker, it's the one and only Joker, hands of torment, turmoil, torture's what he'll rage. A triumvirate of Gotham forms a cordon, The Batman, Harvey Dent, Lieutenant Gordon, but they're seduced by the performance, limited by laws conformance, the playmaker relishing, all the destruction. It's not too long before their weaknesses are found, as hostages are taken to compound, ultimatums are presented, prominent profiles are demented, and our hero runs for cover, goes underground.",8.0,Anonymous,0.993,0.007,0.9861,"Action, Crime, Drama"
Quite possibly the best all round film ever,"Phenomenal. From start to finish this film is a masterpiece. It is quite possible the best all round film ever.Action, amazing
Drama, incredible
Realism, believably brilliant
Fantasy, works perfectlyThis is a film that all should see. Performance from Christian Bale is spot on yet still over shadowed by the amazing Heath Ledger. His joker is undoubtedly the best.The fact Christian's performance is superb and still you remember the joker, shows what a practically perfect performance they both gave. Ability to share the screen without scene stealing and just enhancing each others performances shows how great they both are.Add in outstanding direction and the cherry is on the top. Must watch.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
It is certainly not a 9.7 rated movie. Maybe a 7 or an 8,"Today, its ranking is #1 out of top 250 movies of all times. That is absurd. This movie is great - but by no means best movie ever. It is not a movie that revolutionizes movies as we see them. It is hard for me to imagine why someone would think this movie is better than breakthroughs like The godfather, Pulp fiction, Matrix, etc. I loved the movie - but nothing in the movie was revolutionary. The story line was not extra-ordinary. The gadgets were great but we have seen better. (sweet tires on the bat mobile + bike). Acting was great. By all means worthwhile of watching - but I am actually very disappointed to see it at #1 movie of all times",7.0,Anonymous,0.9905,0.0095,0.9809,"Action, Crime, Drama"
"""The Dark Knight"" finally realizes the full potential of the Batman mythology","Cards (hardy har har) on the table: Going into ""The Dark Knight"" in IMAX I did not think Christopher Nolan was a great director, I was not too taken by ""Batman Begins"" (although it was refreshing after Burton and Schumacher reminded me of the lesser Batman comics I have read, and, bizarrely for non-comedies, of the 60's television series and the film version of that, except less fun), I did not think Heath Ledger was among the great actors of his generation, I did not think Christian Bale was the best actor alive, and I was not expecting anything more than an entertaining Batman movie, despite being reassured by everyone I trust about movies that it was much more.Having seen it, as intended with the scenes filmed specifically for IMAX intact and covering the entire IMAX screen vertically, I can safely say that ""The Dark Knight"" is without question the first time the Batman character and the many great comics based in Gotham City have been done justice on film. Nolan's version of Batman is not meant to be realistic, it is meant to be plausible, and everything here including Two-Face feels plausible. Still, the film has not forsaken its comic book roots. This is not the watered-down Batman of the 50's, this is the Batman conceived in the 30's and re-born in the 80's. Moments here, thanks to Ledger's astonishingly creepy and believable performance as the Joker (this is the original Joker. Bank robber with no motive, mass-murderer with not a hint of mercy, not the ludicrous clown Jack Nicholson horribly portrayed in Burton's 1989 effort), recall the great Batman book ""Arkham Asylum"". Others recall ""The Killing Joke"". As anyone who has read those books will testify, that is just about the highest praise I can give the portrayal of the Joker here.I do think that seeing this in IMAX enhances the experience, although it is a little annoying when the picture clarity goes from as clear as possible to clearly blown-up when the scene switches from those shot on IMAX cameras to those shot on regular film. One can really appreciate the sound design here as well, which is absolutely remarkable all the way through.This is, as far as I'm concerned, easily Nolan's best work as director. His handling of the film's pacing is absolutely stunning, and the action here is both filmed and edited much better than in ""Begins"". It is Nolan's work with actors that particularly impresses, with just about every moment of acting being superb here. Of course, Michael Caine and Morgan Freeman are phoning it in but they don't exactly need to be brilliant here. Bale, as well, displays little depth as Wayne, but embodies all his charm and makes for an excellent Batman (unless your perception of Batman is a wisecracking fool, then you might be disappointed). No, the acting I refer to here is the extraordinary performances by Ledger, Oldman, and Eckhart. Although Ledger will surely get all the attention (and he's certainly great here), I think that both Oldman and Eckhart stole the show a bit. Eckhart is better as Dent than Two-Face but the transformation is certainly not an easy task for any actor. Maggie Gyllenhaal is unquestionably better as Rachel Dawes than Katie Holmes was, and Nestor Carbonell, not an actor with much range, is really very good as the Mayor of Gotham City.Over and over again film versions of Batman have disappointed. Has ""The Dark Knight"" finally got it right? No doubt some will moan and complain about it not being distinctive or stylized enough, not capturing the spirit of the comics. Guess what? You have been reading the WRONG comics. The best Batman comics may not always strive for plausibility, but they are certainly far from the 'silly fun' some might expect from ""The Dark Knight"". What you will get here is a tense, dramatic crime thriller with some breathtaking action set-pieces, remarkable characterization. The Joker being given such a complex psychological profile is a stunning achievement, and Ledger is terrifying in the role. You really believe that he is dangerous and his sick social experiments are nerve-wracking to witness.I have one or two misgivings about ""The Dark Knight"". I don't know if I would have handled Rachel Dawes and Harvey Dent/Two-Face the way the Nolan brothers do in this screenplay, but virtually the rest of the film is pitch-perfect. The pace is astonishing (I could hardly believe the film was as long as it actually was), the acting is phenomenal, the visual look of the film is right, especially given the subtext Nolan is going for here (which you'll see when you've seen the film), the characters are rich, the drama is real, the action is spectacular, and finally- The Joker is given a definitive portrayal.Tim Burton once said, ""Anyone who knows me knows I would never read a comic book"". For shame, Mr. Burton. Maybe if you had you could have made something this good. ""The Dark Knight"" does the character of Batman justice, it does The Joker justice, and it does the great Batman comics justice. In two and a half hours ""The Dark Knight"" makes up for all the silly, offensive garbage adapted from comic books and graphic novels, and reveals just how much can be done with the characters and ideas in those books. This is finally a film that does justice to the Batman universe.",,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
Love this movie,"This Is probably the second best sequel of all time, second only to the return of the king. I've seen this movie twice in cinema this year, that's just how good it is. I could name very few flaws in this movie. This movie has some of the best preformances of all time. Heath ledgers preformance is nothing short of phenomenal and arguably the best preformance we've ever been given in a superhero film. However I believe Aaron eckhart plays his role as two-face to perfection which is severely overshadowed by Heath ledgers. Definitely one of those movies you can watch numerous times. Christopher nolan is a brilliant director 10/10.",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
R.I.P. Heath Ledger. This portray of Joker will never be forgotten.,"Lets begin by stating that this movie should only be watched in IMAX. If you are a big Batman fanatic, spend a couple extra dollars and you'll get your money's worth.This is the best movie of 2008, no other film will come close.Christopher Nolan has made his masterpiece, with the help of his brother Jonathan creating the script. The perfect balance between superhero action and drama can be found here in The Dark Knight.The acting is top-notch. Not a single actor in this movie comes up short. Christian Bale portrays Batman better than he did in its predecessor. Aaron Eckhart impresses with his take of Harvey Dent. Maggie does a fantastic job playing the role of Rachel Dawes. Heath Ledger is Oscar worthy in his attempt at the infamous Batman rival, The Joker. Ledger's performance is just absolutely stunning. No words can describe how much he attracts the viewer and shines on the big screen.There is no reason why anyone should say this movie was bad. Those who gave this movie a poor rating should be ashamed of themselves for their lack of intelligence. Yes I said. LACK OF INTELLIGENGE! Even if your not a Batman fanatic, this film has a meaning and purpose. It will give you excitement and also something to ponder about for the rest of the day, night, morning, etc.No spoilers but its lengthy running time of 152 minutes beats the hell out of any other superhero comic book adaptation previously made and for years to come. Ledger's stunning acting portrayal of the Joker is good enough for you to spend the money. Do not wait for it to come out on DVD, WATCH IT IN IMAX!",10.0,Anonymous,0.9989,0.0011,0.9978,"Action, Crime, Drama"
