title,directors,cast,image_urls,trailer_url,where_to_watch_urls
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill",https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZGQzN2E0YmYtYzgxNS00NWM4LWFkY2ItZjBiNzgyZTM3ZmFmXkEyXkFqcGdeQWpvaG5oYXJ0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZGQzN2E0YmYtYzgxNS00NWM4LWFkY2ItZjBiNzgyZTM3ZmFmXkEyXkFqcGdeQWpvaG5oYXJ0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BODJmZGI5YmMtNzMzMC00MDZhLTg0ODItMzAzZjlkZTdkZjMxXkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BODJmZGI5YmMtNzMzMC00MDZhLTg0ODItMzAzZjlkZTdkZjMxXkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg,https://www.youtube.com/watch?v=JNwNXF9Y6kY,https://www.disneyplus.com/movies/star-wars-the-empire-strikes-back-episode-v/iqtDTZAewwYl
Avatar,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso, Dileep Rao, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence",https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjM2OTkyNTY3N15BMl5BanBnXkFtZTgwNzgzNDc2NjE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjM2OTkyNTY3N15BMl5BanBnXkFtZTgwNzgzNDc2NjE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjAwMjE1NDg2OV5BMl5BanBnXkFtZTcwOTY1OTg3Mg@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjAwMjE1NDg2OV5BMl5BanBnXkFtZTcwOTY1OTg3Mg@@._V1_.jpg,https://www.youtube.com/watch?v=5PSNL1qE6VY,https://www.disneyplus.com/movies/avatar/2YOnkRN4LwZZ
Guardians of the Galaxy,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio Del Toro, Laura Haddock, Sean Gunn, Peter Serafinowicz",https://m.media-amazon.com/images/M/MV5BM2ZmNjQ2MzAtNDlhNi00MmQyLWJhZDMtNmJiMjFlOWY4MzcxXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTYyNzMzNTkxNF5BMl5BanBnXkFtZTgwMTU5Mzc2NjE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTYyNzMzNTkxNF5BMl5BanBnXkFtZTgwMTU5Mzc2NjE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTcxNTgzMjIyOF5BMl5BanBnXkFtZTgwNTY4NzMyMzE@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTcxNTgzMjIyOF5BMl5BanBnXkFtZTgwNTY4NzMyMzE@._V1_.jpg,https://www.youtube.com/watch?v=d96cjJhvlMA,https://www.disneyplus.com/movies/guardians-of-the-galaxy/1S4WM9h3KRR6
V for Vendetta,James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Tim Pigott-Smith, Rupert Graves, Roger Allam, Ben Miles, Sinéad Cusack, Natasha Wightman, John Standing, Eddie Marsan, Clive Ashborn, Emma Field-Rayner",https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZWVkNmQ2ZjktZTU1My00ZTIyLWIzMTctZmEzNjQ0NTM5YzM2XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZWVkNmQ2ZjktZTU1My00ZTIyLWIzMTctZmEzNjQ0NTM5YzM2XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BOTJkZDVlNmEtZjllMC00MTgxLTlmMmEtYTIxOWQ4MDJhOWUzXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BOTJkZDVlNmEtZjllMC00MTgxLTlmMmEtYTIxOWQ4MDJhOWUzXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg,https://www.youtube.com/watch?v=lSA7mAHolAw,"https://www.amazon.com/V-Vendetta-Natalie-Portman/dp/B000HVHM5S, https://www.netflix.com/it-en/title/70039175"
Léon: The Professional,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee",https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZjlkOWI0YzUtYmI1OS00M2ZkLTgwYjAtNjc3MzhjMGY3ODQ5XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZjlkOWI0YzUtYmI1OS00M2ZkLTgwYjAtNjc3MzhjMGY3ODQ5XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjU2MzA5MjQ0MV5BMl5BanBnXkFtZTgwMzczMTY3MTI@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjQ1NDU1NDMxM15BMl5BanBnXkFtZTgwMDEyMTY3MTI@._V1_.jpg,https://www.youtube.com/watch?v=aNQqoExfQsg,https://www.netflix.com/jp-en/title/7880857
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Damian O'Hare, Giles New, Angus Barnett, David Bailie, Michael Berry Jr., Isaac C. Singleton Jr., Kevin McNally",https://m.media-amazon.com/images/M/MV5BNDhlMzEyNzItMTA5Mi00YWRhLThlNTktYTQyMTA0MDIyNDEyXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BN2RjMmU2MGQtMDMzZC00ZGE5LTlkOWMtMGJiNTAyNTljOTY4XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BN2RjMmU2MGQtMDMzZC00ZGE5LTlkOWMtMGJiNTAyNTljOTY4XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYTlmNzAzN2EtOGM5Yi00OWExLWFiODgtMzdiZTY5Y2I2MDY1XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYTlmNzAzN2EtOGM5Yi00OWExLWFiODgtMzdiZTY5Y2I2MDY1XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg,https://www.youtube.com/watch?v=naQr0uTrH_s,https://www.disneyplus.com/movies/pirates-of-the-caribbean-the-curse-of-the-black-pearl/2XuO7Cc1YEau
Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen, Julie Dreyfus, Chiaki Kuriyama, Shin'ichi Chiba, Chia-Hui Liu, Michael Parks, Michael Bowen, Jun Kunimura, Kenji Ôba, Yuki Kazamatsuri",https://m.media-amazon.com/images/M/MV5BZmMyYzJlZmYtY2I3NC00NjAyLTkyZWItZjdjZDI1YTYyYTEwXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNDFjYTYwNmMtY2YwMi00YmVhLTlhOTItMWE1MmQ2N2MyMDgwXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BNDFjYTYwNmMtY2YwMi00YmVhLTlhOTItMWE1MmQ2N2MyMDgwXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTEyMDFjMTgtOTU1Ny00MDVkLTgxN2QtNjliMzkwY2FjYjQ2XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMTEyMDFjMTgtOTU1Ny00MDVkLTgxN2QtNjliMzkwY2FjYjQ2XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg,https://www.youtube.com/watch?v=7kSuas6mRpk,"https://www.primevideo.com/detail/Kill-Bill-Volume-1/0J3PELLU8KXU3JWDRLFDKMMPO0, https://www.hulu.com/movie/kill-bill-volume-1-91101089-b0d6-430e-b967-b18e81b416c0"
Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Castulo Guerra, Danny Cooksey, Jenette Goldstein, Xander Berkeley, Leslie Hamilton Gearren, Ken Gibbel, Robert Winley, Pete Schrum",https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjI0OTJlNTQtMzYyZi00MTBkLWEyMzItNWQwYWFhOWU1NDczXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjI0OTJlNTQtMzYyZi00MTBkLWEyMzItNWQwYWFhOWU1NDczXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjExODcwOTY3M15BMl5BanBnXkFtZTgwOTg2NjMyMjI@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMjExODcwOTY3M15BMl5BanBnXkFtZTgwOTg2NjMyMjI@._V1_.jpg,https://www.youtube.com/watch?v=CRRlbK5w8AE,"https://www.primevideo.com/detail/Terminator-2-Judgment-Day/0MDZQ3JSTYIVNJBABIADQ2PG6R, https://www.netflix.com/ca/title/60028202"
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, Peter Mayhew, Sebastian Shaw, Ian McDiarmid, Frank Oz, James Earl Jones, David Prowse, Alec Guinness, Kenny Baker, Michael Pennington, Kenneth Colley",https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZDc5NzNlOWMtNGZkNi00NzViLTliMDItZWVmZTJjZWU3YWE3XkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZDc5NzNlOWMtNGZkNi00NzViLTliMDItZWVmZTJjZWU3YWE3XkEyXkFqcGdeQTNwaW5nZXN0._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYWU5ODdhZjItZGE3NC00ZjliLThiYWYtMDgyZGU2YjU0MDhkXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BYWU5ODdhZjItZGE3NC00ZjliLThiYWYtMDgyZGU2YjU0MDhkXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_.jpg,https://www.youtube.com/watch?v=p4vIFhk621Q,https://www.disneyplus.com/movies/star-wars-return-of-the-jedi-episode-vi/6QGKo5mjDBS8
Iron Man,Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya, Paul Bettany, Jon Favreau, Peter Billingsley, Tim Guinee, Will Lyman",https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZGM4ZGJiM2UtMmYyYi00Y2YzLTk5ZWEtN2ZkNzBlYTczZjQwXkEyXkFqcGdeQUlNRGJWaWRlb1RodW1ibmFpbFNlcnZpY2U@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BZGM4ZGJiM2UtMmYyYi00Y2YzLTk5ZWEtN2ZkNzBlYTczZjQwXkEyXkFqcGdeQUlNRGJWaWRlb1RodW1ibmFpbFNlcnZpY2U@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMmU2ZmU0ZjQtNmM2ZC00MzQ1LTgzZTItOTlmZDAwNDI2ODkzXkEyXkFqcGdeQWFsZWxvZw@@._V1_.jpg; https://m.media-amazon.com/images/M/MV5BMmU2ZmU0ZjQtNmM2ZC00MzQ1LTgzZTItOTlmZDAwNDI2ODkzXkEyXkFqcGdeQWFsZWxvZw@@._V1_.jpg,https://www.youtube.com/watch?v=8ugaeA-nMTc,"https://www.disneyplus.com/movies/iron-man/6aM2a8mZATiu, https://www.primevideo.com/detail/Marvel-Studios-Iron-Man/0QG3RB051BQAWY6NYVJUED6KTU"
